"Max Fala
"Terry Fanolua
"Ron Fanuatanu
"Alafoti Fa'osiliva
"Bureta Faraimo
"David Fatialofa
"Peter Fatialofa
"Charlie Faumuina
"Sione Faumuina
"Chris Feauai-Sautia
"Dominic Fe'aunati
"Isaac Fe'aunati
"JJ Felise
"Maika Felise
"Daniel Fepuleai
"Vincent Fepulea'i
"Fa'atonu Fili
"Karl Filiga
"Olsen Filipaina
"Marvin Filipo
"Ross Filipo
"Nic Fitisemanu
"Theresa Fitzpatrick
"Greg Foe
"DJ Forbes
"Kahn Fotuali'i
"Robbie Fruean
"Steve Fualau
"Tani Fuga
"Tyrell Fuimaono
"Eliota Fuimaono-Sapolu
"Beau Gallagher
"Joe Galuvao
"Jackson Garden-Bachop
"James Gavet
"Simon Geros
"Craig Glendinning
"Pita Godinet
"Payne Haas
"Harrison Hansen
"George Harder
"Jamie Helleur
"Roman Hifo
"Carl Hoeft
"Phoenix Hunapo-Nofoa
"Hymel Hunt
"Karmichael Hunt
"Royce Hunt
"Jordan Hyland
"Alama Ieremia
"Stacey Ili
"Krisnan Inu
"Akira Ioane
"Digby Ioane
"Eddie Ioane
"Josh Ioane
"Mark Ioane
"Rieko Ioane
"TJ Ioane
"Iopu Iopu-Aso
"Masada Iosefa
"Willie Isa
"Jamayne Isaako
"Malaki Iupeli
"Census Johnston
"James Johnston
"Michael Jones
"Jerome Kaino
"Danny Kaleopa
"Sam Kaleta
"Sam Kasiano
"Mat Keenan
"Darren Kellett
"Richard Kennar
"Milford Keresoma
"Lolani Koko
"Vae Kololo
"Tony Koonwaiyou
"Josh Kronfeld
"Timothy Lafaele
"Tim Lafai
"Leo Lafaiali'i
"Shane Laloata
"Junior Laloifi
"Ben Lam
"Jack Lam
"Pat Lam
"George Latu
"Ali Lauiti'iti
"Casey Laulala
"Luteru Laulala
"Nepo Laulala
"Brian Laumatia
"Quentin Laulu-Togaga'e
"Tasesa Lavea
"Jordan Lay
"Silao Leaega
"Charlie Leaeno
"Mark Leafa
"Patrick Leafa
"Kas Lealamanua
"Christian Lealiifano
"Brian Leauma
"George Leaupepe
"Potu Leavasa
"Fritz Lee
"Valdemar Lee-Lo
"Tala Leiasamaivao
"Joseph Leilua
"Luciano Leilua
"Alapati Leiua
"Na'ama Leleimalefaga
"Fa'atiga Lemalu
"Simon Lemalu
"Saini Lemamea
"David Lemi
"Daniel Leo
"Johnny Leota
"Moses Leota
"Trevor Leota
"Jeff Lepa
"Tuaalagi Lepupa
"Kylie Leuluai
"Phillip Leuluai
"Thomas Leuluai
"Vincent Leuluai
"Tamato Leupolu
"Ricky Leutele
"Faifili Levave
"Filipo Levi
"Anton Lienert-Brown
"Daniel Lienert-Brown
"Palemia Lilomaiava
"Brian Lima
"Danny Lima
"Jeff Lima
"Peter Lima
"Mason Lino
"Lamar Liolevave
"Sam Lisone
"Isaac Liu
"Jamahl Lolesi
"Keith Lowen
"Jarome Luai
"Ekeroma Luaiufi
"Joel Luani
"Steve Luatua
"Dunamis Lui
"Lolo Lui
"Des Maea
"Patrick Mago
"Uale Mai
"Hutch Maiava
"Sean Maitland
"Reni Maitua
"Jeff Makapelu
"Gus Malietoa-Brown
"Clifford Manua
"Penani Manumalealii
"Seilala Mapusua
"Lelia Masaga
"Chris Masoe
"Mose Masoe
"Willie Mason
"Suaia Matagi
"Steve Matai
"Onehunga Matauiau
"Chanel Mata'utia
"Pat Mata'utia
"Peter Mata'utia
"Sione Mata'utia
"Vila Matautia
"Ben Matulino
"Aaron Mauger
"Nathan Mauger
"Ken Maumalo
"Tyrone May
"Wayne McDade
"Josh McGuire
"Jerry Meafou
"Kelly Meafua
"Keven Mealamu
"Francis Meli
"Jonathan Meredith
"Steve Meredith
"Liam Messam
"Dom Michael
"Brad Mika
"Constantine Mika
"Dylan Mika
"Michael Mika
"Simaika Mikaele
"Anthony Milford
"Laloa Milford
"Tautau Moga
"Peewee Moke
"Francis Molo
"Junior Moors
"Richard Mo'unga
"Mils Muliaina
"Logovi'i Mulipola
"Lucky Mulipola
"Zane Musgrove
"Heka Nanai
"Melani Nanai
"Tim Nanai-Williams
"George Naoupu
"Sene Naoupu
"Ben Nee-Nee
"Elijah Niko
"David Nofoaluma
"Ma'a Nonu
"Tu Nu'uali'itia
"Frank-Paul Nu'uausala
"John Nuumaalii
"Ray Ofisa
"Hitro Okesene
"Paul Okesene
"Duncan Paia'aua
"Fosi Pala'amo
"Thretton Palamo
"Iafeta Paleaaesina
"Opeta Palepoi
"Sam Panapa
"Abraham Papalii
"Isaiah Papali'i
"Josh Papalii
"Junior Paramore
"Pauli Pauli
"Maselino Paulino
"Filo Paulo
"Joseph Paulo
"Junior Paulo (born 1983)
"Junior Paulo (born 1993)
"Ti’i Paulo
"Junior Pelesasa
"Daniel Penese
"Apollo Perelini
"Anthony Perenise
"Paul Perez
"Sam Perrett
"Mikaele Pesamino
"Fred Petersen
"Eddy Pettybourne
"Dominique Peyroux
"George Pisi
"Ken Pisi
"Tusi Pisi
"Robert Piva
"Mataupu Poching
"Willie Poching
"Junior Poluleuligaga
"Peter Poulos
"Frank Pritchard
"Kaysa Pritchard
"Esera Puleitu
"Frank Puletua
"Tony Puletua
"Augustine Pulu
"Edward Purcell
"Justin Purdie
"Dale Rasmussen
"Brendan Reidy
"Nathaniel Roache
"Ben Roberts
"Iva Ropati
"Jerome Ropati
"Joe Ropati
"Peter Ropati
"Romi Ropati
"Tangi Ropati
"Tea Ropati
"Setaimata Sa
"Fereti Sa'aga
"Filipo Saena
"Francis Saili
"Peter Saili
"Solomona Sakalia
"Muliufi Salanoa
"Manaia Salavea
"Toa Samania
"Luke Samoa
"Smith Samau
"Phillip Sami
"Luke Samoa
"Ligi Sao
"Junior Sa'u
"Sami Sauiluma
"Ardie Savea
"Julian Savea
"Andre Savelio
"John Schuster
"Peter Schuster
"John Schwalger
"Mahonri Schwalger
"Silao Vaisola Sefo
"Patrick Segi
"Aki Seiuli
"Jesse Sene-Lefao
"John Senio
"Kevin Senio
"Mike Setefano
"Lagi Setu
"Terence Seu Seu
"Taleni Seu
"Ava Seumanufagai
"Jerry Seuseu
"Elvis Seveali'i
"Regina Sheck
"Siliva Siliva
"Tim Simona
"Fata Sini
"Sinoti Sinoti
"David Sio
"Ken Sio
"Keneti Sio
"Michael Sio
"Scott Sio
"Toafofoa Sipley
"Semo Sititi
"Cameron Skelton
"Will Skelton
"Chad Slade
"Jeremy Smith
"Iosia Soliola
"Dave Solomon
"Frank Solomon
"David Solomona
"Denny Solomona
"Malo Solomona
"Se'e Solomona
"Afato So'oalo
"James So'oialo
"Rodney So'oialo
"Steven So'oialo
"Lima Sopoaga
"Tupou Sopoaga
"Benson Stanley
"Chase Stanley
"Jeremy Stanley
"Joe Stanley
"Kyle Stanley
"Michael Stanley
"Sam Stanley
"Miguel Start
"George Stowers
"Shannon Stowers
"Jaydn Su'A
"Jeremy Su'a
"Sauaso Sue
"Andrew Suniula
"Roland Suniula
"Shalom Suniula
"Anthony Swann
"Logan Swann
"Willie Swann
"Conrad Ta'akimoeaka
"Sene Ta'ala
"Niva Ta'auso
"Angus Ta'avao
"Henry Taefu
